Type 1: Fixed speed
V∞ = 20m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.245 m²
   Span  =    1.437 m
   Chord =    0.171 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.125, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.13 m
Static margin       = 4.47344
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 20.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.029065   0.00019208            0   0.00019208   8.7358e-08     0.058623            0     0.058623  -2.3675e-10   8.4134e-09            0   8.4134e-09       151.32       25.798       5.8656       1.7464     0.011541     0.011541    5.249e-06       1.7464      0.18058  -1.0525e-07        8.403            0            0            0           20      0.54257           20      0.37864   4.2936e-08      0.60136   7.2524e-07     0.056044  -1.0637e-09     0.024745      0.20895       15.968      0.23082      0.16637    0.0016289            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0           -4            0            0      0.12661    0.0009512            0    0.0009512   8.7821e-08     0.050952            0     0.050952  -2.1779e-10    9.028e-09            0    9.028e-09       133.11       47.362       2.8104       7.6076     0.057154     0.057154   5.2769e-06       7.6076   -0.0063779   -5.564e-08       12.514            0            0            0       19.999      0.29553           20      0.43044   3.5606e-08      0.52266   7.7868e-07     0.085042  -7.1786e-10     0.024911        1.011       8.6975       1.1431      0.63751     0.010767            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0           -3            0            0      0.22409    0.0025915            0    0.0025915   8.8231e-08     0.043341            0     0.043341  -1.7854e-10   9.6451e-09            0   9.6451e-09       86.471       40.934       2.1125       13.465      0.15571      0.15571   5.3015e-06       13.465    -0.051721  -5.4474e-09       16.635            0            0            0       19.999      0.34194           20      0.66257   2.8182e-08      0.44459    8.322e-07     0.099622  -5.4223e-10     0.024999       1.8149       10.063       3.1142      0.73301     0.022324            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0           -2            0            0      0.32142    0.0051096            0    0.0051096   8.8587e-08     0.035799            0     0.035799  -1.1877e-10   1.0263e-08            0   1.0263e-08       62.905       35.663       1.7639       19.313      0.30702      0.30702   5.3229e-06       19.313     0.045075   4.5269e-08       20.756            0            0            0       19.997      0.39248           20      0.91075   2.0673e-08      0.36723   8.8573e-07      0.10833  -4.3592e-10     0.025056       2.6196       11.551       6.1404      0.76485      0.03482            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0           -1            0            0      0.41854    0.0084998            0    0.0084998   8.8888e-08     0.028337            0     0.028337  -3.8301e-11   1.0882e-08            0   1.0882e-08       49.241       31.856       1.5457       25.148      0.51072      0.51072    5.341e-06       25.148       0.2841   9.6446e-08        24.87            0            0            0       19.996      0.43939           20       1.1634   1.3088e-08      0.29068   9.3921e-07      0.11408  -3.6461e-10     0.025097       3.4242       12.931       10.214      0.77961     0.047746            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0            0            0            0      0.51536     0.012753            0     0.012753   8.9135e-08     0.020962            0     0.020962   6.2975e-11   1.1499e-08            0   1.1499e-08        40.41       29.009        1.393       30.966       0.7663       0.7663   5.3558e-06       30.966      0.66502   1.4802e-07       28.968            0            0            0       19.994       0.4825           20       1.4176   5.4358e-09      0.21503   9.9258e-07      0.11812  -3.1344e-10     0.025128       4.2278         14.2       15.326      0.78779     0.060874            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0            1            0            0      0.61181     0.017859            0     0.017859   8.9327e-08     0.013684            0     0.013684   1.8511e-10   1.2114e-08            0   1.2114e-08       34.258       26.796       1.2785       36.761       1.0731       1.0731   5.3673e-06       36.761        1.187   1.9994e-07        33.04            0            0            0       19.991      0.52236           20        1.672  -2.2732e-09      0.14037   1.0458e-06      0.12109   -2.749e-10     0.025154       5.0293       15.373       21.462      0.79284     0.074084            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0            2            0            0      0.70782     0.023803            0     0.023803   8.9463e-08    0.0065117            0    0.0065117   3.2809e-10   1.2725e-08            0   1.2725e-08       29.736       25.018       1.1886        42.53       1.4302       1.4302   5.3755e-06        42.53        1.849   2.5212e-07       37.079            0            0            0       19.989      0.55949           20       1.9261   -1.003e-08     0.066797   1.0987e-06      0.12334  -2.4481e-10     0.025176       5.8277       16.466       28.605       0.7962     0.087306            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0            3            0            0      0.80331     0.030569            0     0.030569   8.9544e-08  -0.00054592            0  -0.00054592   4.9184e-10   1.3331e-08            0   1.3331e-08       26.278       23.553       1.1157       48.268       1.8368       1.8368   5.3804e-06       48.268       2.6492   3.0452e-07       41.075            0            0            0       19.986      0.59429           20       2.1793  -1.7825e-08      -0.0056   1.1513e-06       0.1251  -2.2066e-10     0.025195       6.6222        17.49       36.736      0.79854      0.10049            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0            4            0            0      0.89821     0.038138            0     0.038138   8.9569e-08   -0.0074805            0   -0.0074805   6.7622e-10    1.393e-08            0    1.393e-08       23.551       22.321       1.0551        53.97       2.2916       2.2916   5.3819e-06        53.97       3.5857   3.5706e-07       45.021            0            0            0       19.982      0.62709           20       2.4313   -2.565e-08    -0.076735   1.2036e-06      0.12648  -2.0083e-10     0.025213       7.4116       18.455       45.832      0.80023      0.11361            0            0            0            0            0            0            0            0            0            3       0.1252            0  
          0            5            0            0      0.99246     0.046489            0     0.046489   8.9539e-08    -0.014284            0    -0.014284   8.8102e-10   1.4522e-08            0   1.4522e-08       21.348       21.268       1.0038       59.633       2.7934       2.7934   5.3801e-06       59.633       4.6558   4.0968e-07       48.907            0            0            0       19.978      0.65814           20       2.6819  -3.3493e-08     -0.14652   1.2554e-06      0.12759  -1.8424e-10     0.025228       8.1951       19.369       55.867      0.80148      0.12663            0            0            0            0            0            0            0            0            0            3       0.1252            0  
