Type 1: Fixed speed
V∞ = 20m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.245 m²
   Span  =    1.533 m
   Chord =    0.160 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.193, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.17 m
Static margin       = -11.8377
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 20.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0    -0.019001   4.8848e-05            0   4.8848e-05   9.0313e-08     0.084419            0     0.084419   1.0693e-09   9.0033e-09            0   9.0033e-09      -388.99       -53.62            0      -1.1417    0.0029351    0.0029351   5.4266e-06      -1.1417      0.30893  -3.7735e-10       6.3672            0            0            0           20     -0.26104           20     -0.14729   1.7038e-07      0.81158   8.1747e-07     0.066841   2.0691e-08     0.021674     -0.16816      -7.6824     0.058702      0.24559   -0.0012701            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0           -4            0            0     0.089653   0.00031706            0   0.00031706   9.1021e-08     0.085739            0     0.085739   1.1274e-09   9.4317e-09            0   9.4317e-09       282.76       84.665       3.3398       5.3869     0.019051     0.019051   5.4691e-06       5.3869     0.048537   4.5773e-08        10.94            0            0            0           20      0.16532           20      0.20263   1.6417e-07      0.82427   8.5931e-07      0.11856   1.2108e-08     0.020183      0.72289       4.8655      0.38102       0.8423     0.010629            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0           -3            0            0      0.19827     0.001519            0     0.001519   9.1675e-08     0.087224            0     0.087224   1.1985e-09   9.8613e-09            0   9.8613e-09       130.52       58.119       2.2458       11.913     0.091274     0.091274   5.5084e-06       11.913    -0.054352   9.2643e-08       15.528            0            0            0       19.999      0.24083           20      0.43896   1.5777e-07      0.83856   9.0121e-07       0.1396   8.5698e-09     0.019576        1.616       7.0877       1.8255      0.85987     0.027679            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0           -2            0            0      0.30677    0.0036527            0    0.0036527   9.2274e-08     0.088875            0     0.088875    1.283e-09   1.0291e-08            0   1.0291e-08       83.985       46.517       1.8055       18.433      0.21948      0.21948   5.5444e-06       18.433    0.0010201   1.4018e-07       20.121            0            0            0       19.999       0.3009           20      0.68218   1.5117e-07      0.85442   9.4314e-07      0.15088   6.6377e-09     0.019249         2.51       8.8556       4.3896      0.85606     0.046286            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0           -1            0            0      0.41508    0.0067132            0    0.0067132   9.2819e-08     0.090687            0     0.090687   1.3808e-09   1.0721e-08            0   1.0721e-08        61.83       39.835       1.5522        24.94      0.40337      0.40337   5.5771e-06        24.94      0.21493   1.8832e-07       24.709            0            0            0       19.997      0.35138           20      0.92659   1.4439e-07      0.87185   9.8504e-07      0.15781   5.4197e-09     0.019047       3.4039       10.341       8.0674      0.85273     0.065504            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0            0            0            0       0.5231     0.010693            0     0.010693   9.3308e-08      0.09266            0      0.09266   1.4922e-09   1.1149e-08            0   1.1149e-08       48.921       35.382       1.3826       31.431      0.64248      0.64248   5.6065e-06       31.431      0.58716     2.37e-07       29.283            0            0            0       19.996      0.39559           20        1.171   1.3743e-07      0.89081   1.0269e-06      0.16244   4.5812e-09     0.018912       4.2966       11.642        12.85      0.85028     0.084971            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0            1            0            0      0.63076     0.015581            0     0.015581    9.374e-08      0.09479            0      0.09479    1.617e-09   1.1575e-08            0   1.1575e-08       40.483       32.152       1.2591         37.9      0.93619      0.93619   5.6325e-06         37.9        1.117   2.8618e-07       33.832            0            0            0       19.994      0.43534           20        1.415    1.303e-07       0.9113   1.0685e-06      0.16569   3.9684e-09     0.018816        5.187       12.812       18.724      0.84844      0.10451            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0            2            0            0      0.73798     0.021364            0     0.021364   9.4116e-08     0.097076            0     0.097076   1.7555e-09   1.1998e-08            0   1.1998e-08       34.543       29.674       1.1641       44.342       1.2837       1.2837   5.6551e-06       44.342       1.8034   3.3578e-07       38.348            0            0            0       19.992      0.47169           20       1.6582   1.2301e-07      0.93327     1.11e-06      0.16806   3.5007e-09     0.018745        6.074       13.882       25.674      0.84701      0.12403            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0            3            0            0      0.84468     0.028026            0     0.028026   9.4434e-08     0.099514            0     0.099514   1.9074e-09   1.2418e-08            0   1.2418e-08       30.139       27.699       1.0881       50.753        1.684        1.684   5.6742e-06       50.753       2.6445   3.8575e-07        42.82            0            0            0       19.989      0.50532           20       1.9004   1.1558e-07       0.9567   1.1513e-06      0.16983   3.1317e-09     0.018692       6.9564       14.872        33.68      0.84586      0.14345            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0            4            0            0      0.95077     0.035549            0     0.035549   9.4695e-08       0.1021            0       0.1021   2.0728e-09   1.2832e-08            0   1.2832e-08       26.745       26.079       1.0256       57.128        2.136        2.136   5.6899e-06       57.128       3.6383   4.3602e-07        47.24            0            0            0       19.986      0.53672           20       2.1413     1.08e-07      0.98158   1.1923e-06      0.17117   2.8331e-09     0.018651       7.8334       15.796        42.72      0.84491      0.16275            0            0            0            0            0            0            0            0            0            3       0.1927            0  
          0            5            0            0       1.0562     0.043911            0     0.043911   9.4898e-08      0.10483            0      0.10483   2.2515e-09   1.3241e-08            0   1.3241e-08       24.053        24.72      0.97303       63.463       2.6384       2.6384   5.7021e-06       63.463       4.7823   4.8654e-07       51.598            0            0            0       19.983      0.56623           20       2.3807   1.0029e-07       1.0079   1.2329e-06       0.1722   2.5863e-09      0.01862       8.7037       16.664       52.769      0.84411      0.18188            0            0            0            0            0            0            0            0            0            3       0.1927            0  
