label,status,LD,n_calls,arm_ok,ld_ok,elapsed_s,AR,taper,tail_arm,fuse_len,SHT_frac,mtow,speed,loading,rstate,error
light_slow,PASS,24.897,30,True,True,344.4,8.81,0.472,5.34,0.5,0.15,1.5,15.0,80.0,42,
light_fast,PASS,15.201,30,True,True,384.6,12.0,0.25,5.33,0.5,0.15,1.5,25.0,120.0,42,
base,PASS,23.595,30,True,True,465.3,12.0,0.25,3.5,0.5,0.15,3.0,20.0,120.0,42,
heavy_slow,PASS,24.693,30,True,True,524.2,12.0,0.55,3.82,0.5,0.15,5.0,16.0,90.0,42,
hi_loading,PASS,24.373,30,True,True,363.6,12.0,0.48,5.47,0.5,0.15,3.0,20.0,160.0,42,
heavy_fast,PASS,20.146,30,True,True,425.6,12.0,0.535,3.5,0.5,0.15,5.0,28.0,150.0,42,
lo_loading,PASS,19.163,30,True,True,442.8,12.0,0.55,6.0,0.5,0.15,3.0,20.0,80.0,42,
fast,PASS,15.63,30,True,True,438.0,12.0,0.55,6.0,0.544,0.15,3.0,30.0,130.0,42,
med_heavy,PASS,23.055,30,True,True,374.3,12.0,0.55,3.5,0.5,0.15,4.0,22.0,130.0,42,
slow,PASS,26.2,30,True,True,410.3,12.0,0.441,5.63,0.5,0.15,3.0,14.0,90.0,42,
sprint,PASS,16.755,30,True,True,270.1,12.0,0.25,6.0,0.5,0.15,2.5,28.0,140.0,42,
med_light,PASS,22.859,30,True,True,357.7,12.0,0.55,5.37,0.5,0.15,2.0,18.0,100.0,42,
small_fast,PASS,13.934,30,True,True,206.6,12.0,0.517,6.0,0.541,0.15,1.5,28.0,140.0,42,
loiter,PASS,26.13,30,True,True,332.0,12.0,0.546,4.45,0.5,0.15,2.5,14.0,85.0,42,
large_slow,PASS,26.449,30,True,True,423.7,12.0,0.25,5.62,0.5,0.15,5.0,14.0,80.0,42,
seed_0,PASS,23.196,30,True,True,340.4,12.0,0.55,3.5,0.5,0.15,3.0,20.0,120.0,0,
seed_1,PASS,24.028,30,True,True,372.3,12.0,0.25,6.0,0.5,0.191,3.0,20.0,120.0,1,
seed_2,PASS,21.303,30,True,True,366.6,12.0,0.55,4.79,0.5,0.215,3.0,20.0,120.0,2,
seed_3,PASS,21.842,30,True,True,313.5,10.35,0.398,5.77,0.6,0.15,3.0,20.0,120.0,3,
seed_4,PASS,23.505,30,True,True,305.8,12.0,0.25,6.0,0.5,0.15,3.0,20.0,120.0,4,
