label,status,LD,n_calls,arm_ok,ld_ok,elapsed_s,AR,taper,tail_arm,fuse_len,SHT_frac,mtow,speed,loading,rstate,error
light_slow,PASS,22.17,30,True,True,314.1,12.0,0.25,6.0,0.5,0.15,1.5,15.0,80.0,42,
light_fast,PASS,12.867,30,True,True,314.1,5.0,0.25,6.0,0.5,0.15,1.5,25.0,120.0,42,
base,PASS,25.195,30,True,True,314.2,12.0,0.25,5.83,0.5,0.4,3.0,20.0,120.0,42,
heavy_slow,PASS,25.645,30,True,True,317.5,6.74,0.466,6.0,0.847,0.4,5.0,16.0,90.0,42,
heavy_fast,PASS,69.01,30,True,True,403.4,12.0,0.25,6.0,0.536,0.158,5.0,28.0,150.0,42,
lo_loading,PASS,16.169,30,True,True,422.9,12.0,0.484,5.75,0.5,0.18,3.0,20.0,80.0,42,
hi_loading,PASS,23.452,30,True,True,443.4,12.0,0.55,5.16,0.539,0.15,3.0,20.0,160.0,42,
fast,PASS,13.488,30,True,True,456.8,12.0,0.504,5.8,0.666,0.172,3.0,30.0,130.0,42,
med_heavy,PASS,20.729,30,True,True,355.1,12.0,0.55,5.55,0.5,0.256,4.0,22.0,130.0,42,
slow,PASS,24.695,30,True,True,398.0,12.0,0.473,5.73,0.5,0.15,3.0,14.0,90.0,42,
sprint,PASS,14.919,30,True,True,356.3,12.0,0.25,6.0,0.5,0.15,2.5,28.0,140.0,42,
med_light,PASS,21.519,30,True,True,410.2,12.0,0.25,6.0,0.5,0.15,2.0,18.0,100.0,42,
loiter,PASS,25.212,30,True,True,362.0,12.0,0.55,4.32,0.5,0.15,2.5,14.0,85.0,42,
small_fast,PASS,16.321,30,True,True,342.8,5.41,0.55,5.62,0.537,0.25,1.5,28.0,140.0,42,
seed_0,PASS,21.844,30,True,True,342.7,12.0,0.55,5.87,0.524,0.15,3.0,20.0,120.0,0,
large_slow,PASS,32.307,30,True,True,412.3,11.81,0.415,4.62,0.615,0.374,5.0,14.0,80.0,42,
seed_1,PASS,20.974,30,True,True,327.2,12.0,0.55,5.18,0.5,0.161,3.0,20.0,120.0,1,
seed_2,PASS,169.899,30,True,True,320.4,5.0,0.25,6.0,0.5,0.372,3.0,20.0,120.0,2,
seed_3,PASS,25.569,30,True,True,283.4,12.0,0.404,4.55,0.567,0.328,3.0,20.0,120.0,3,
seed_4,PASS,18.336,30,True,True,279.4,12.0,0.55,4.96,0.5,0.15,3.0,20.0,120.0,4,
