label,status,LD,n_calls,arm_ok,ld_ok,elapsed_s,AR,taper,tail_arm,fuse_len,SHT_frac,mtow,speed,loading,rstate,error
light_fast,PASS,8.577,30,True,True,256.3,5.0,0.25,3.5,0.5,0.15,1.5,25.0,120.0,42,
light_slow,PASS,17.754,30,True,True,297.4,6.94,0.55,4.8,0.705,0.15,1.5,15.0,80.0,42,
base,FAIL,-500.0,30,True,False,391.7,11.6,0.419,5.58,0.673,0.21,3.0,20.0,120.0,42,
heavy_slow,PASS,19.003,30,True,True,434.0,8.64,0.364,3.54,0.5,0.163,5.0,16.0,90.0,42,
heavy_fast,PASS,14.24,30,True,True,6283.9,6.2,0.55,4.08,0.5,0.15,5.0,28.0,150.0,42,
hi_loading,PASS,13.694,30,True,True,6265.1,5.0,0.25,4.93,0.5,0.15,3.0,20.0,160.0,42,
fast,PASS,10.862,30,True,True,6210.5,12.0,0.25,3.98,0.5,0.168,3.0,30.0,130.0,42,
lo_loading,FAIL,-500.0,30,True,False,6317.2,10.05,0.532,4.81,0.9,0.303,3.0,20.0,80.0,42,
med_heavy,PASS,15.31,30,True,True,283.4,8.36,0.25,5.48,0.806,0.15,4.0,22.0,130.0,42,
slow,PASS,18.917,30,True,True,316.7,6.35,0.464,3.82,0.5,0.15,3.0,14.0,90.0,42,
sprint,PASS,10.136,30,True,True,178.1,5.0,0.55,3.5,0.5,0.15,2.5,28.0,140.0,42,
med_light,PASS,16.874,30,True,True,246.5,10.83,0.469,4.33,0.555,0.15,2.0,18.0,100.0,42,
small_fast,PASS,12.449,30,True,True,209.7,5.0,0.25,3.74,0.5,0.15,1.5,28.0,140.0,42,
seed_0,PASS,23.005,30,True,True,225.0,6.61,0.387,3.5,0.5,0.171,3.0,20.0,120.0,0,
loiter,PASS,21.89,30,True,True,308.2,9.96,0.25,4.12,0.578,0.15,2.5,14.0,85.0,42,
large_slow,PASS,21.444,30,True,True,355.3,12.0,0.55,4.77,0.5,0.15,5.0,14.0,80.0,42,
seed_1,PASS,21.617,30,True,True,270.4,12.0,0.521,4.3,0.5,0.15,3.0,20.0,120.0,1,
seed_3,PASS,19.968,30,True,True,269.4,7.08,0.374,4.84,0.5,0.15,3.0,20.0,120.0,3,
seed_2,PASS,26.249,30,True,True,307.5,11.2,0.25,4.45,0.62,0.15,3.0,20.0,120.0,2,
seed_4,PASS,23.166,30,True,True,217.4,9.94,0.285,4.47,0.501,0.155,3.0,20.0,120.0,4,
