label,status,LD,n_calls,arm_ok,ld_ok,elapsed_s,AR,taper,tail_arm,fuse_len,SHT_frac,mtow,speed,loading,rstate,error
base,PASS,25.195,30,True,True,419.2,12.0,0.25,5.83,0.5,0.4,3.0,20.0,120.0,42,
light_fast,PASS,13.011,30,True,True,437.3,5.0,0.55,6.0,0.5,0.15,1.5,25.0,120.0,42,
light_slow,PASS,22.17,30,True,True,437.2,12.0,0.25,6.0,0.5,0.15,1.5,15.0,80.0,42,
heavy_slow,PASS,25.645,30,True,True,478.7,6.74,0.466,6.0,0.847,0.4,5.0,16.0,90.0,42,
heavy_fast,PASS,16.924,30,True,True,435.6,12.0,0.474,5.74,0.5,0.15,5.0,28.0,150.0,42,
lo_loading,PASS,16.169,30,True,True,418.2,12.0,0.484,5.75,0.5,0.18,3.0,20.0,80.0,42,
hi_loading,PASS,23.452,30,True,True,436.2,12.0,0.55,5.16,0.539,0.15,3.0,20.0,160.0,42,
fast,PASS,13.488,30,True,True,453.5,12.0,0.504,5.8,0.666,0.172,3.0,30.0,130.0,42,
med_heavy,PASS,20.729,30,True,True,342.7,12.0,0.55,5.55,0.5,0.256,4.0,22.0,130.0,42,
slow,PASS,24.695,30,True,True,386.4,12.0,0.473,5.73,0.5,0.15,3.0,14.0,90.0,42,
sprint,PASS,14.919,30,True,True,385.7,12.0,0.25,6.0,0.5,0.15,2.5,28.0,140.0,42,
med_light,PASS,21.519,30,True,True,445.0,12.0,0.25,6.0,0.5,0.15,2.0,18.0,100.0,42,
small_fast,PASS,10.932,30,True,True,349.3,5.0,0.55,5.7,0.5,0.4,1.5,28.0,140.0,42,
loiter,PASS,25.212,30,True,True,488.6,12.0,0.55,4.32,0.5,0.15,2.5,14.0,85.0,42,
seed_0,PASS,21.844,30,True,True,412.2,12.0,0.55,5.87,0.524,0.15,3.0,20.0,120.0,0,
large_slow,PASS,32.307,30,True,True,514.1,11.81,0.415,4.62,0.615,0.374,5.0,14.0,80.0,42,
seed_1,PASS,20.974,30,True,True,350.8,12.0,0.55,5.18,0.5,0.161,3.0,20.0,120.0,1,
seed_2,PASS,18.149,30,True,True,333.7,5.0,0.25,3.5,0.767,0.162,3.0,20.0,120.0,2,
seed_3,PASS,25.569,30,True,True,296.8,12.0,0.404,4.55,0.567,0.328,3.0,20.0,120.0,3,
seed_4,PASS,18.336,30,True,True,287.0,12.0,0.55,4.96,0.5,0.15,3.0,20.0,120.0,4,
