Type 1: Fixed speed
V∞ = 20m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.245 m²
   Span  =    1.107 m
   Chord =    0.221 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.279, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.22 m
Static margin       = -26.0025
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 20.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0     0.080506   0.00064742            0   0.00064742   8.8612e-08    0.0086855            0    0.0086855   1.1434e-09   1.0472e-08            0   1.0472e-08       124.35       35.282       3.5244       4.8373     0.038901     0.038901   5.3244e-06       4.8373      0.15655  -1.2366e-07       10.286            0            0            0       19.999      0.39672           20      0.46076   1.3651e-07      0.11558   6.8748e-07      0.26783   8.2185e-09    0.0062537      0.36107       11.675      0.77803      0.63731     0.021562            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0           -4            0            0      0.16671    0.0021336            0    0.0021336   8.9093e-08     0.022657            0     0.022657   1.1581e-09   1.1364e-08            0   1.1364e-08       78.135       31.902       2.4492       10.017       0.1282       0.1282   5.3533e-06       10.017     0.075517  -7.3405e-08       13.986            0            0            0       19.998      0.43875           20      0.73326   1.2962e-07      0.30151   7.4894e-07      0.25774   6.0644e-09    0.0065701      0.90211       12.912        2.564      0.82924     0.042967            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0           -3            0            0      0.25282    0.0045814            0    0.0045814    8.952e-08     0.036833            0     0.036833    1.202e-09   1.2262e-08            0   1.2262e-08       55.185       27.748       1.9888       15.191      0.27528      0.27528   5.3789e-06       15.191      0.12185  -2.2575e-08        17.69            0            0            0       19.997      0.50444           20       1.0381   1.2257e-07      0.49015   8.1056e-07      0.25156   4.8057e-09    0.0067587       1.4442       14.846       5.5055       0.8882     0.063599            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0           -2            0            0      0.33877    0.0079866            0    0.0079866   8.9893e-08     0.051196            0     0.051196   1.2756e-09   1.3162e-08            0   1.3162e-08       42.417       24.688       1.7181       20.355      0.47988      0.47988   5.4013e-06       20.355      0.29583   2.8768e-08       21.391            0            0            0       19.994      0.56695           20       1.3505   1.1539e-07      0.68129   8.7227e-07      0.24727   3.9797e-09    0.0068857       1.9866       16.685       9.5977      0.91478     0.083768            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0           -1            0            0      0.42447     0.012342            0     0.012342   9.0211e-08     0.065729            0     0.065729    1.379e-09   1.4063e-08            0   1.4063e-08       34.392       22.407       1.5349       25.505       0.7416       0.7416   5.4204e-06       25.505      0.59736    8.056e-08       25.082            0            0            0       19.992      0.62469           20       1.6655   1.0807e-07      0.87468   9.3398e-07      0.24405   3.3957e-09    0.0069781       2.5286       18.385       14.832      0.92935      0.10359            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0            0            0            0      0.50986     0.017639            0     0.017639   9.0473e-08     0.080413            0     0.080413   1.5125e-09   1.4963e-08            0   1.4963e-08       28.906        20.64       1.4005       30.635       1.0598       1.0598   5.4362e-06       30.635        1.026   1.3274e-07       28.754            0            0            0       19.988      0.67816           20       1.9814   1.0064e-07       1.0701   9.9562e-07      0.24147   2.9606e-09    0.0070493       3.0697       19.958       21.197      0.93823      0.12311            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0            1            0            0      0.59485     0.023863            0     0.023863   9.0681e-08     0.095231            0     0.095231   1.6761e-09   1.5861e-08            0   1.5861e-08       24.928       19.226       1.2966       35.742       1.4338       1.4338   5.4487e-06       35.742       1.5808   1.8524e-07         32.4            0            0            0       19.984      0.72802           20       2.2972   9.3089e-08       1.2673   1.0571e-06      0.23932   2.6238e-09    0.0071064       3.6092       21.426       28.676      0.94401      0.14236            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0            2            0            0      0.67937     0.030999            0     0.030999   9.0833e-08      0.11016            0      0.11016   1.8699e-09   1.6754e-08            0   1.6754e-08       21.916       18.064       1.2132       40.821       1.8626       1.8626   5.4578e-06       40.821       2.2605     2.38e-07       36.012            0            0            0       19.979      0.77485           20       2.6125   8.5439e-08        1.466   1.1184e-06      0.23747   2.3551e-09    0.0071538       4.1464       22.804       37.252      0.94788      0.16133            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0            3            0            0      0.76336     0.039028            0     0.039028   9.0929e-08       0.1252            0       0.1252   2.0937e-09    1.764e-08            0    1.764e-08       19.559       17.089       1.1446       45.867       2.3451       2.3451   5.4636e-06       45.867       3.0636   2.9096e-07       39.583            0            0            0       19.974      0.81909           20       2.9268   7.7694e-08        1.666   1.1794e-06      0.23583   2.1357e-09    0.0071943       4.6806       24.106       46.902       0.9505      0.18003            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0            4            0            0      0.84673     0.047931            0     0.047931   9.0969e-08      0.14031            0      0.14031   2.3475e-09   1.8518e-08            0   1.8518e-08       17.666       16.255       1.0867       50.877         2.88         2.88    5.466e-06       50.877       3.9879   3.4404e-07       43.104            0            0            0       19.968      0.86107           20       3.2399   6.9866e-08       1.8671     1.24e-06      0.23436    1.953e-09    0.0072294       5.2112       25.341         57.6      0.95225      0.19844            0            0            0            0            0            0            0            0            0            3       0.2787            0  
          0            5            0            0      0.92941     0.057682            0     0.057682   9.0953e-08      0.15548            0      0.15548   2.6308e-09   1.9385e-08            0   1.9385e-08       16.113       15.534       1.0373       55.845       3.4659       3.4659    5.465e-06       55.845       5.0311    3.972e-07       46.569            0            0            0       19.962      0.90108           20       3.5514   6.1963e-08        2.069   1.3002e-06        0.233   1.7984e-09    0.0072606       5.7376       26.519       69.318      0.95336      0.21655            0            0            0            0            0            0            0            0            0            3       0.2787            0  
