Type 1: Fixed speed
V∞ = 20m/s
Triangles/Uniform doublet densities
Wings as thin surfaces
B.C.: Dirichlet
Lift & drag: in the far field plane
Inviscid analysis
Ref. dimensions = Custom
   Area  =    0.245 m²
   Span  =    1.107 m
   Chord =    0.221 m
Fluid properties:
   ρ =     1.225 kg/m³
   ν =   1.5e-05 m²/s
Inertia:
   Using plane inertia
   Mass =  3.000 kg
   CoG = (0.181, 0.000, 0.000)m
Flat panel wake:
   Nb. of wake panels = 5
   Length             = 30 x MAC
   Progression factor =    1.10

XNP = d(XCp.Cl)/dCl =     0.16 m
Static margin       = -8.68856
Nbr. of data points = 20
drone_opt
drone_polar
Freestream speed = 20.000 m/s


 Ctrl        α (°)      β (°)      φ (°)      CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF_wind (N)  Fy_FF_wind (N)  Fz_FF_wind (N)  Fx_sum_wind (N)  Fy_sum_wind (N)  Fz_sum_wind (N)  Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)              0           -5            0            0      0.10782    0.0011745            0    0.0011745   8.6134e-08   -0.0082376            0   -0.0082376    1.255e-10   8.5681e-09            0   8.5681e-09         91.8       30.144       3.0454       6.4786     0.070573     0.070573   5.1754e-06       6.4786     0.083504  -2.1975e-07       11.464            0            0            0       19.999      0.46434           20      0.62411   5.8006e-08     -0.10962    5.672e-07       0.1918  -5.2442e-10     0.015969       0.5655       13.666       1.4115      0.63013      0.02068            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0           -4            0            0      0.19002     0.002927            0     0.002927   8.6479e-08   -0.0044298            0   -0.0044298   9.2533e-11   9.5743e-09            0   9.5743e-09       64.919       28.299        2.294       11.417      0.17587      0.17587   5.1962e-06       11.417     0.039617  -1.6773e-07       14.968            0            0            0       19.998      0.49462           20       0.8825    5.058e-08     -0.05895   6.3507e-07      0.18596  -3.9982e-10     0.016619       1.1065       14.557       3.5174      0.78532     0.035336            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0           -3            0            0      0.27214    0.0055758            0    0.0055758   8.6772e-08  -0.00050588            0  -0.00050588    9.336e-11   1.0587e-08            0   1.0587e-08       48.808       25.461       1.9169       16.352      0.33503      0.33503   5.2138e-06       16.352      0.11644  -1.1517e-07       18.473            0            0            0       19.996      0.54974           20       1.1737   4.3069e-08    -0.006732   7.0311e-07      0.18217   -3.222e-10     0.017028       1.6487       16.179       6.7005      0.84559     0.049574            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0           -2            0            0      0.35411    0.0091179            0    0.0091179   8.7011e-08    0.0035295            0    0.0035295   1.2839e-10   1.1603e-08            0   1.1603e-08       38.837       23.111       1.6805       21.277      0.54786      0.54786   5.2282e-06       21.277      0.31404  -6.2135e-08       21.971            0            0            0       19.993      0.60565           20        1.475    3.548e-08     0.046969   7.7124e-07      0.17943  -2.6917e-10     0.017309       2.1915       17.824       10.957      0.87553      0.06354            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0           -1            0            0      0.43587     0.013548            0     0.013548   8.7198e-08    0.0076714            0    0.0076714   1.9795e-10    1.262e-08            0    1.262e-08       32.173       21.241       1.5147        26.19      0.81404      0.81404   5.2394e-06        26.19      0.63215  -8.6782e-09       25.456            0            0            0        19.99      0.65898           20       1.7803   2.7824e-08      0.10209   8.3937e-07      0.17733  -2.3063e-10     0.017516       2.7342       19.394       16.281      0.89274     0.077294            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0            0            0            0      0.51734     0.018857            0     0.018857   8.7331e-08     0.011915            0     0.011915   3.0223e-10   1.3638e-08            0   1.3638e-08       27.434       19.733       1.3903       31.085       1.1331       1.1331   5.2474e-06       31.085       1.0701    4.513e-08       28.918            0            0            0       19.987      0.70934           20       2.0875    2.011e-08      0.15855   9.0742e-07      0.17563  -2.0135e-10     0.017675       3.2762       20.876       22.661      0.90355     0.090862            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0            1            0            0      0.59845     0.025035            0     0.025035    8.741e-08     0.016254            0     0.016254   4.4134e-10   1.4653e-08            0   1.4653e-08       23.904       18.492       1.2927       35.958       1.5043       1.5043   5.2522e-06       35.958       1.6269   9.9224e-08       32.352            0            0            0       19.983      0.75692           20       2.3955   1.2346e-08       0.2163   9.7531e-07       0.1742  -1.7833e-10     0.017802       3.8167       22.276       30.085      0.91071      0.10425            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0            2            0            0      0.67912     0.032068            0     0.032068   8.7436e-08     0.020685            0     0.020685   6.1527e-10   1.5663e-08            0   1.5663e-08       21.178       17.452       1.2135       40.806       1.9268       1.9268   5.2537e-06       40.806       2.3011   1.5354e-07        35.75            0            0            0       19.978      0.80201           20       2.7035   4.5427e-09      0.27527    1.043e-06      0.17297  -1.5975e-10     0.017906       4.3551       23.603       38.537      0.91561      0.11747            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0            3            0            0       0.7593     0.039939            0     0.039939   8.7407e-08     0.025201            0     0.025201   8.2392e-10   1.6666e-08            0   1.6666e-08       19.012       16.566       1.1476       45.624       2.3998       2.3998    5.252e-06       45.624       3.0911   2.0801e-07       39.104            0            0            0       19.972      0.84491           20       3.0109  -3.2905e-09      0.33537   1.1103e-06      0.17187  -1.4443e-10     0.017993       4.8909       24.866       47.995        0.919       0.1305            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0            4            0            0      0.83891     0.048629            0     0.048629   8.7325e-08     0.029798            0     0.029798   1.0671e-09   1.7661e-08            0   1.7661e-08       17.251       15.801       1.0918       50.407       2.9219       2.9219   5.2471e-06       50.407       3.9946   2.6256e-07       42.408            0            0            0       19.966      0.88585           20       3.3176  -1.1144e-08      0.39653   1.1772e-06      0.17088  -1.3158e-10     0.018068       5.4232       26.071       58.439      0.92133      0.14336            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0            5            0            0      0.91788     0.058118            0     0.058118    8.719e-08     0.034469            0     0.034469   1.3444e-09   1.8644e-08            0   1.8644e-08       15.793       15.131       1.0438       55.152       3.4921       3.4921   5.2389e-06       55.152       5.0094   3.1714e-07       45.655            0            0            0        19.96      0.92505           20        3.623  -1.9009e-08      0.45869   1.2436e-06      0.16998  -1.2064e-10     0.018133       5.9515       27.224       69.842      0.92288      0.15602            0            0            0            0            0            0            0            0            0            3       0.1808            0  
          0            6            0            0      0.99616     0.068381            0     0.068381      8.7e-08     0.039209            0     0.039209   1.6554e-09   1.9614e-08            0   1.9614e-08       14.568        14.54       1.0019       59.855       4.1087       4.1087   5.2275e-06       59.855       6.1325   3.7167e-07       48.838            0            0            0       19.953      0.96268           20       3.9269  -2.6875e-08      0.52176   1.3095e-06      0.16913   -1.112e-10      0.01819       6.4751       28.332       82.175      0.92385      0.16848            0            0            0            0            0            0            0            0            0            3       0.1808            0  
